player_name,team,age,draft_year,draft_pick_number,position,made_all_star,made_all_nba,made_all_defence,won_dpoy,won_mvp,played_in_playoffs,num_championships,ppg_career_high,apg_career_high,rpg_career_high
Precious Achiuwa,Kings,26,2020.0,20,Forward,0,0,0,0,0,1,0,9.2,1.3,6.6
Steven Adams,Rockets,32,2013.0,12,Center,0,0,0,0,0,1,0,13.9,3.4,11.5
Bam Adebayo,Heat,28,2017.0,14,Center,1,0,1,0,0,1,0,20.4,5.4,10.4
Ochai Agbaji,Nets,25,2022.0,14,Guard,0,0,0,0,0,0,0,10.4,1.5,3.8
Santi Aldama,Grizzlies,25,2021.0,30,Forward,0,0,0,0,0,1,0,14.0,2.9,6.7
Trey Alexander,Pelicans,22,,61,Guard,0,0,0,0,0,0,0,2.8,1.0,0.8
Nickeil Alexander-Walker,Hawks,27,2019.0,17,Guard,0,0,0,0,0,1,0,20.0,3.8,3.5
Grayson Allen,Suns,30,2018.0,21,Guard,0,0,0,0,0,1,0,17.3,4.1,3.9
Jarrett Allen,Cavaliers,27,2017.0,22,Center,1,0,0,0,0,1,0,16.5,2.7,10.8
Jose Alvarado,Knicks,27,,61,Guard,0,0,0,0,0,1,0,10.3,4.6,2.6
Kyle Anderson,Timberwolves,32,2014.0,30,Forward,0,0,0,0,0,1,0,12.4,4.9,5.8
Giannis Antetokounmpo,Bucks,31,2013.0,15,Forward,1,1,1,1,1,1,1,31.1,6.5,13.6
Thanasis Antetokounmpo,Bucks,33,2014.0,51,Forward,0,0,0,0,0,1,1,3.6,0.8,2.2
OG Anunoby,Knicks,28,2017.0,23,Forward,0,0,1,0,0,1,1,18.0,2.6,5.5
Deni Avdija,Trail Blazers,25,2020.0,9,Forward,1,0,0,0,0,0,0,24.3,6.7,7.3
Deandre Ayton,Lakers,27,2018.0,1,Center,0,0,0,0,0,1,0,18.2,1.9,11.5
Marvin Bagley III,Mavericks,26,2018.0,2,Forward,0,0,0,0,0,1,0,14.9,1.5,7.6
Ace Bailey,Jazz,19,2025.0,5,Forward,0,0,0,0,0,0,0,12.5,1.7,4.0
LaMelo Ball,Hornets,24,2020.0,3,Guard,1,0,0,0,0,0,0,25.2,8.4,6.7
Paolo Banchero,Magic,23,2022.0,1,Forward,1,0,0,0,0,1,0,25.9,5.4,8.6
Desmond Bane,Magic,27,2020.0,30,Guard,0,0,0,0,0,1,0,23.7,5.5,6.1
Dominick Barlow,76ers,22,,61,Forward,0,0,0,0,0,0,0,8.1,1.1,4.6
Harrison Barnes,Spurs,33,2012.0,7,Forward,0,0,0,0,0,1,1,19.2,3.5,6.6
Scottie Barnes,Raptors,24,2021.0,4,Forward,1,0,0,0,0,1,0,19.9,6.1,8.2
Brooks Barnhizer,Thunder,24,2025.0,44,Guard,0,0,0,0,0,0,0,1.4,0.5,1.7
RJ Barrett,Raptors,25,2019.0,3,Forward,0,0,0,0,0,1,0,21.1,5.4,6.3
Jamison Battle,Raptors,24,,61,Forward,0,0,0,0,0,0,0,7.1,0.9,2.7
Nicolas Batum,Clippers,37,2008.0,25,Guard,0,0,0,0,0,1,0,15.1,5.9,7.5
Bradley Beal,Clippers,32,2012.0,3,Guard,1,1,0,0,0,1,0,31.3,6.6,5.0
